iter	Passed	Remaining
677	22415	17390
678	22443	17352
679	22475	17319
680	22508	17286
681	22541	17253
682	22573	17219
683	22607	17186
684	22639	17153
685	22673	17121
686	22708	17088
687	22743	17057
688	22776	17024
689	22811	16992
690	22843	16958
691	22877	16927
692	22910	16893
693	22945	16861
694	22977	16827
695	23011	16795
696	23043	16761
697	23078	16729
698	23109	16695
699	23143	16663
700	23174	16628
701	23209	16597
702	23242	16563
703	23275	16530
704	23309	16498
705	23342	16465
706	23374	16431
707	23409	16399
708	23442	16366
709	23476	16334
710	23508	16300
711	23542	16268
712	23575	16234
713	23608	16202
714	23642	16169
715	23676	16137
716	23709	16104
717	23743	16071
718	23775	16037
719	23809	16005
720	23841	15971
721	23876	15939
722	23909	15906
723	23940	15872
724	23974	15839
725	24006	15806
726	24040	15773
727	24073	15740
728	24106	15707
729	24138	15673
730	24172	15641
731	24205	15607
732	24239	15575
733	24272	15542
734	24305	15509
735	24338	15476
736	24373	15444
737	24406	15411
738	24442	15379
739	24475	15346
740	24509	15314
741	24542	15281
742	24577	15249
743	24609	15215
744	24644	15183
745	24677	15150
746	24712	15118
747	24754	15090
748	24789	15058
749	24822	15025
750	24857	14993
751	24890	14960
752	24924	14928
753	24962	14897
754	24995	14864
755	25028	14831
756	25060	14797
757	25094	14765
758	25127	14731
759	25160	14699
760	25192	14665
761	25227	14633
762	25259	14599
763	25294	14567
764	25327	14534
765	25361	14501
766	25393	14468
767	25427	14435
768	25459	14401
769	25494	14369
770	25525	14335
771	25558	14302
772	25590	14268
773	25623	14235
774	25656	14202
775	25690	14169
776	25723	14136
777	25757	14103
778	25788	14069
779	25833	14042
780	25868	14010
781	25902	13978
782	25934	13944
783	25967	13911
784	25999	13877
785	26034	13845
786	26067	13812
787	26100	13779
788	26133	13745
789	26167	13713
790	26200	13679
791	26235	13647
792	26269	13614
793	26303	13582
794	26335	13548
795	26369	13515
796	26400	13481
797	26435	13449
798	26469	13416
799	26503	13384
800	26536	13350
801	26569	13317
802	26603	13284
803	26635	13251
804	26669	13218
805	26702	13185
806	26736	13152
807	26769	13119
808	26803	13087
809	26852	13061
810	26886	13029
811	26919	12995
812	26951	12961
813	26985	12929
814	27017	12895
815	27049	12861
816	27082	12828
817	27114	12794
818	27148	12762
819	27180	12728
820	27215	12696
821	27247	12662
822	27282	12629
823	27321	12599
824	27361	12569
825	27404	12541
826	27440	12509
827	27475	12476
828	27510	12444
829	27542	12410
830	27577	12378
831	27607	12343
832	27642	12311
833	27687	12283
834	27721	12250
835	27752	12216
836	27788	12184
837	27821	12150
838	27854	12117
839	27886	12083
840	27919	12051
841	27952	12017
842	27986	11984
843	28018	11951
844	28053	11918
845	28086	11885
846	28120	11852
847	28153	11819
848	28189	11786
849	28222	11753
850	28259	11722
851	28293	11689
852	28329	11657
853	28361	11623
854	28396	11591
855	28428	11557
856	28462	11524
857	28496	11491
858	28531	11458
859	28563	11425
860	28597	11392
861	28630	11359
862	28665	11326
863	28697	11292
864	28731	11259
865	28763	11226
866	28797	11193
